icd10,icd10label,section_ID,section_LABEL,chapter_ID,chapter_LABEL
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A00.9,"Cholera, unspecified",A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A00,Cholera,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A01.0,Typhoid fever,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A01.1,Paratyphoid fever A,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A01.2,Paratyphoid fever B,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A01.3,Paratyphoid fever C,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A01.4,"Paratyphoid fever, unspecified",A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A01,Typhoid and paratyphoid fevers,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A02.0,Salmonella enteritis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A02.1,Salmonella sepsis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A02.2,Localized salmonella infections,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A02.8,Other specified salmonella infections,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A02.9,"Salmonella infection, unspecified",A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A02,Other salmonella infections,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A03.0,Shigellosis due to Shigella dysenteriae,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A03.1,Shigellosis due to Shigella flexneri,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A03.2,Shigellosis due to Shigella boydii,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A03.3,Shigellosis due to Shigella sonnei,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A03.8,Other shigellosis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A03.9,"Shigellosis, unspecified",A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A03,Shigellosis,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A04.0,Enteropathogenic Escherichia coli infection,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A04.1,Enterotoxigenic Escherichia coli infection,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A04.2,Enteroinvasive Escherichia coli infection,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
A04.3,Enterohaemorrhagic Escherichia coli infection,A00-A09,Intestinal infectious diseases,I,Certain infectious and parasitic diseases
